repo,name,head_sha,head_sha_short,is_default,url
blaster,main,cf870b98d839ff754f855ca751e4ac9b97903a2f,cf870b9,True,https://github.com/havaianasdestruido/blaster/tree/main
hemorroidabot,master,9a0fd54c6724560c6d812f0f7ba73955bc99a9d0,9a0fd54,True,https://github.com/havaianasdestruido/hemorroidabot/tree/master
PatoCraft,main,943b1581c27a51e1d97224fb6f3d476217989b6d,943b158,True,https://github.com/havaianasdestruido/PatoCraft/tree/main
pong-pop,codex/atualizar-texto-do-botao-ao-iniciar-o-jogo,0b452305acfc9acbde3097a56f397fe7e0de921f,0b45230,False,https://github.com/havaianasdestruido/pong-pop/tree/codex/atualizar-texto-do-botao-ao-iniciar-o-jogo
pong-pop,codex/corrigir-janela-da-ia-tremendo-ao-seguir-a-bola,796d5c1f8434666fa2d70df3093f594ec3d26c03,796d5c1,False,https://github.com/havaianasdestruido/pong-pop/tree/codex/corrigir-janela-da-ia-tremendo-ao-seguir-a-bola
pong-pop,codex/create-pong-game-with-popup-windows,ebce1a99b0c8c9c21ffd5527c3b589af2b134f73,ebce1a9,False,https://github.com/havaianasdestruido/pong-pop/tree/codex/create-pong-game-with-popup-windows
pong-pop,main,615099cabc45eeb2d18e6a2b0ecaa7d91f53a38b,615099c,True,https://github.com/havaianasdestruido/pong-pop/tree/main
PrintSpoolerAutoRun,main,497fd87cad9ba7e20a15f8c0f4d9fc634b66ca36,497fd87,True,https://github.com/havaianasdestruido/PrintSpoolerAutoRun/tree/main
sitemapping,main,317107fd6dbb0a8373147e97b36ebf7ac9af45f5,317107f,True,https://github.com/havaianasdestruido/sitemapping/tree/main
top100,main,10bf3c202df7250171f79545ebd0d423e1b42b8f,10bf3c2,True,https://github.com/havaianasdestruido/top100/tree/main
.github,main,17aaf6998c71fcbe4e0c854e8245815d1382d20d,17aaf69,True,https://github.com/havaianasdestruido/.github/tree/main
apkdecomp-skill,main,6b931ee1193571235f1c15219eabb4f20f42af3a,6b931ee,True,https://github.com/havaianasdestruido/apkdecomp-skill/tree/main
AudioTaste,main,f8cb721f5f3f66ec15be1fa6e1858a42e1a4bd35,f8cb721,True,https://github.com/havaianasdestruido/AudioTaste/tree/main
AudioTaste,vercel/install-vercel-speed-insights-ftzuun,4e7ad01509542836213e7125ccc4fb067bb78d9b,4e7ad01,False,https://github.com/havaianasdestruido/AudioTaste/tree/vercel/install-vercel-speed-insights-ftzuun
BloodAndBacon-DnSpyEx,main,a3d6e8e0b015893a8a080e50cd6f5dc3353d48ec,a3d6e8e,True,https://github.com/havaianasdestruido/BloodAndBacon-DnSpyEx/tree/main
bloxNES,main,b509b232c877b57175df1524a0d37fa36d571bd6,b509b23,True,https://github.com/havaianasdestruido/bloxNES/tree/main
bootloader-unlock-wall-of-shame,jules-6300918527596495494-157f5121,56a64ea58aa8febe86b41c77418ecac11e63f4d2,56a64ea,False,https://github.com/havaianasdestruido/bootloader-unlock-wall-of-shame/tree/jules-6300918527596495494-157f5121
bootloader-unlock-wall-of-shame,main,0497b9cfbcc4ae29e07990e439ff14329fab32d8,0497b9c,True,https://github.com/havaianasdestruido/bootloader-unlock-wall-of-shame/tree/main
BulkStarHistoryAdd,imgbot,29edf8b2805084d82d25509f941dbaa9a2dd7e7e,29edf8b,False,https://github.com/havaianasdestruido/BulkStarHistoryAdd/tree/imgbot
BulkStarHistoryAdd,main,942bec6ec85b2aefdcc048da3f8960f5db1e6fd3,942bec6,True,https://github.com/havaianasdestruido/BulkStarHistoryAdd/tree/main
calculator,uno,8283b45e91c9415c51f56954807a8bb4d488c0cb,8283b45,True,https://github.com/havaianasdestruido/calculator/tree/uno
EleLab_v2,master,9306cddca1e8b6b14c4f6a4f572579d2eedd44df,9306cdd,True,https://github.com/havaianasdestruido/EleLab_v2/tree/master
EZInfiniteYTLive,main,3d049a9ae6cbfe27719d4dfee62df185b5a2e621,3d049a9,True,https://github.com/havaianasdestruido/EZInfiniteYTLive/tree/main
face-tagger,master,d35aacab9e50ab1d3d0cc9a5104afdab540441cf,d35aaca,True,https://github.com/havaianasdestruido/face-tagger/tree/master
FNF-PeoteView,official,ae03146d20aad02a6369d41f61b877df6713d9b8,ae03146,True,https://github.com/havaianasdestruido/FNF-PeoteView/tree/official
FNF-Phoenix-Engine,fix/ci-matrix-if,e546cecd718e88715f0730f55fc32bf63367327a,e546cec,False,https://github.com/havaianasdestruido/FNF-Phoenix-Engine/tree/fix/ci-matrix-if
FNF-Phoenix-Engine,fix/mobile-workflow-haxelib,fb15bb73c52efdc034ba49d15befb6ac99d4f017,fb15bb7,False,https://github.com/havaianasdestruido/FNF-Phoenix-Engine/tree/fix/mobile-workflow-haxelib
FNF-Phoenix-Engine,fix/workflows/mobile-setup,144c806d38bb64c81d6a06b38f26fb4db428eab3,144c806,False,https://github.com/havaianasdestruido/FNF-Phoenix-Engine/tree/fix/workflows/mobile-setup
FNF-Phoenix-Engine,fix-broken-workflows-451876394576674102,f76f7fea749db8c1434656c779d714e4884d6d5e,f76f7fe,False,https://github.com/havaianasdestruido/FNF-Phoenix-Engine/tree/fix-broken-workflows-451876394576674102
FNF-Phoenix-Engine,fix-workflows-hython,192918f4a8a6ef278f165358d85cb69fdcdce7b9,192918f,False,https://github.com/havaianasdestruido/FNF-Phoenix-Engine/tree/fix-workflows-hython
FNF-Phoenix-Engine,git-clone-warning,e82534b865d26d45164e86ccdb7d3fc90908ff51,e82534b,False,https://github.com/havaianasdestruido/FNF-Phoenix-Engine/tree/git-clone-warning
FNF-Phoenix-Engine,main,1117fa6ae4d2c521ee4893d1263b86ddcfc21d77,1117fa6,True,https://github.com/havaianasdestruido/FNF-Phoenix-Engine/tree/main
FNF-Phoenix-Engine,minify-json,006f204d2e08bb2aa24e529ed964b3bdabdecc48,006f204,False,https://github.com/havaianasdestruido/FNF-Phoenix-Engine/tree/minify-json
FNF-Phoenix-Engine-fork,main,a9326bc98900134fff95bbef6d5f7ae964202d72,a9326bc,True,https://github.com/havaianasdestruido/FNF-Phoenix-Engine-fork/tree/main
freellmapi,fix-readme-grammar-18253037270662955219,e27d942a5565bfab15708c929477b42ccf45a586,e27d942,False,https://github.com/havaianasdestruido/freellmapi/tree/fix-readme-grammar-18253037270662955219
freellmapi,main,d3d3a9338153c3c45a8c08d42ccb044f450e80fd,d3d3a93,True,https://github.com/havaianasdestruido/freellmapi/tree/main
freellmapi,revert-1-fix-readme-grammar-18253037270662955219,d559fecf756eed257fc0f53324b3087cb3103f08,d559fec,False,https://github.com/havaianasdestruido/freellmapi/tree/revert-1-fix-readme-grammar-18253037270662955219
Giggles-Shit,main,67804cbf37f5d7b9660161fb2e840e369618871e,67804cb,True,https://github.com/havaianasdestruido/Giggles-Shit/tree/main
gitgithub,add-git-installation-tutorials-17541894421943877497,7b5cb88ce47a6367a08c9edcfa140e6c9022d068,7b5cb88,False,https://github.com/havaianasdestruido/gitgithub/tree/add-git-installation-tutorials-17541894421943877497
gitgithub,expand-tba-readme-934878366318225114,b5da76343c699ed5fc1917bcfbcfbc130673b80d,b5da763,False,https://github.com/havaianasdestruido/gitgithub/tree/expand-tba-readme-934878366318225114
gitgithub,fix-readme-grammar-9987866976443268935,74f7000ead8f6de310681dbf5279c36914149d55,74f7000,False,https://github.com/havaianasdestruido/gitgithub/tree/fix-readme-grammar-9987866976443268935
gitgithub,main,ac196567d012bf81c345764d3467cad52cc35d53,ac19656,True,https://github.com/havaianasdestruido/gitgithub/tree/main
havaianasdestruido.github.io,main,80c46c32083ea3a4a7b7397266fa3300dc9bf390,80c46c3,True,https://github.com/havaianasdestruido/havaianasdestruido.github.io/tree/main
Hiphenatus,main,77c9661cd5033af1fd593c19e31ec9550cb9dedc,77c9661,True,https://github.com/havaianasdestruido/Hiphenatus/tree/main
hscript-improved,master,11cbbcffcf48b0e9ecc86e4e8f81deadafe3da54,11cbbcf,True,https://github.com/havaianasdestruido/hscript-improved/tree/master
hxluau,main,4a1c4a0d1e5944c7e09f096dc173e86c75572d27,4a1c4a0,True,https://github.com/havaianasdestruido/hxluau/tree/main
ImaturidadePlusPlus,main,a27ddc2275be7d91ee0d81f82b6a2d35aaa9ce18,a27ddc2,True,https://github.com/havaianasdestruido/ImaturidadePlusPlus/tree/main
ImgBotAutomerger,main,e63b325222b1ec3157fefea5c9a722aabcec34b4,e63b325,True,https://github.com/havaianasdestruido/ImgBotAutomerger/tree/main
lastfm-to-csv-unicode,fix/csv-utf8-bom-and-escaping,08efd3faa5a5ed23ffaf6699cf19250ff868c064,08efd3f,False,https://github.com/havaianasdestruido/lastfm-to-csv-unicode/tree/fix/csv-utf8-bom-and-escaping
lastfm-to-csv-unicode,main,0d3c3827b38a34ae8ffb7860f134c8a481b08299,0d3c382,True,https://github.com/havaianasdestruido/lastfm-to-csv-unicode/tree/main
manimce-claude,main,26d97e8f0c663faf7ed488d1a45a99a40b1d9086,26d97e8,True,https://github.com/havaianasdestruido/manimce-claude/tree/main
MeatyMod,main,8213f37801827a8495c3b218d318ebd22cfd42a5,8213f37,True,https://github.com/havaianasdestruido/MeatyMod/tree/main
mediapublisher,master,c3ede1ca970c4cfce446e58f91c4f0167796aef0,c3ede1c,True,https://github.com/havaianasdestruido/mediapublisher/tree/master
metadata-editor,master,e765a5e213199dd5ef6dd03269e64e32dec51dcc,e765a5e,True,https://github.com/havaianasdestruido/metadata-editor/tree/master
midi-skill,main,1c3d3953326acf593d1c3a31057b2f54f681edd0,1c3d395,True,https://github.com/havaianasdestruido/midi-skill/tree/main
mmr-cli,master,ebfc86f7a2610c6cf09517d85652ceb2f68845a7,ebfc86f,True,https://github.com/havaianasdestruido/mmr-cli/tree/master
mmr-gui,master,5be04a23d9cc4839a908076b39deee52957cfbf4,5be04a2,True,https://github.com/havaianasdestruido/mmr-gui/tree/master
mmr-python,master,f0183a417b184d82020b3e96042fa888167ad7cd,f0183a4,True,https://github.com/havaianasdestruido/mmr-python/tree/master
movielibrary,master,6156b52ec9269cb9b92ca530b2d4425d280e2668,6156b52,True,https://github.com/havaianasdestruido/movielibrary/tree/master
moviemaker-launcher,master,269b5a2d66c0809580bf0586ac0e042fa7687dbd,269b5a2,True,https://github.com/havaianasdestruido/moviemaker-launcher/tree/master
noisy,main,eb8cde7815ab34ba8b16a40d3e70ab51320929ab,eb8cde7,True,https://github.com/havaianasdestruido/noisy/tree/main
OdontoAura,ci/update-node-22-7424374546274977733,8c38a9397f6c8b7b872e8b66a72aabcbe1c77db0,8c38a93,False,https://github.com/havaianasdestruido/OdontoAura/tree/ci/update-node-22-7424374546274977733
OdontoAura,feat/connect-frontend-backend-vercel-2197773701412789504,b0a3385c89e4aa951f226e363a3e8a43dcb48ead,b0a3385,False,https://github.com/havaianasdestruido/OdontoAura/tree/feat/connect-frontend-backend-vercel-2197773701412789504
OdontoAura,fix/build-errors,7a5033e8fac36a8e9acbd5bc983f2b49e28d3ac8,7a5033e,False,https://github.com/havaianasdestruido/OdontoAura/tree/fix/build-errors
OdontoAura,fix/har-cors-vercel-routing-6506941725452652626,8da97f6cfee2c446217278356f3f789141384c7c,8da97f6,False,https://github.com/havaianasdestruido/OdontoAura/tree/fix/har-cors-vercel-routing-6506941725452652626
OdontoAura,fix/pnpm-action-setup-version-mismatch-5954893924324974857,a492a00d9be5909e6d42895bd0196b3f98ba34b6,a492a00,False,https://github.com/havaianasdestruido/OdontoAura/tree/fix/pnpm-action-setup-version-mismatch-5954893924324974857
OdontoAura,fix-login-redirect-flow-1754381547150028108,8e395c88961ba949ce9eeeaf7d2456815c4d0b65,8e395c8,False,https://github.com/havaianasdestruido/OdontoAura/tree/fix-login-redirect-flow-1754381547150028108
OdontoAura,host-frontend-github-pages-7416436364491725714,59802b85c195337f55aaa5c68ceee7609b0334d7,59802b8,False,https://github.com/havaianasdestruido/OdontoAura/tree/host-frontend-github-pages-7416436364491725714
OdontoAura,jules-426731085996982659-7bcf478f,d0f81e0f8ad022761a38077e31ae985e1d2946dc,d0f81e0,False,https://github.com/havaianasdestruido/OdontoAura/tree/jules-426731085996982659-7bcf478f
orelha,main,d1acdc376138748798eab511317e19f48dba7863,d1acdc3,True,https://github.com/havaianasdestruido/orelha/tree/main
PersonaDB,main,74509cba255b328b0e3f2c4635dde7144cd9994a,74509cb,True,https://github.com/havaianasdestruido/PersonaDB/tree/main
photoviewer,master,a4e83d59fd7fdef4e8db30bec4ef31722eb83335,a4e83d5,True,https://github.com/havaianasdestruido/photoviewer/tree/master
pipeline-graph,master,48fb4b78241dca9ba34279fa88aa0c012190e77b,48fb4b7,True,https://github.com/havaianasdestruido/pipeline-graph/tree/master
PWSV,main,650fd073651e6988528c33e56144315d285fcd2e,650fd07,True,https://github.com/havaianasdestruido/PWSV/tree/main
Quack3DMM,main,d306a9b926cd37905288ad89ec7d5fdc3521f13f,d306a9b,True,https://github.com/havaianasdestruido/Quack3DMM/tree/main
R2K16,dependabot/npm_and_yarn/RobloxHybrid/docs/jaguar/npm_and_yarn-b258cd4ece,d7f519da3b8d2c4b6b201c655273292229b4619d,d7f519d,False,https://github.com/havaianasdestruido/R2K16/tree/dependabot/npm_and_yarn/RobloxHybrid/docs/jaguar/npm_and_yarn-b258cd4ece
R2K16,main,0f63b0c3ed022ea11e7e5248e626c5dd9c80b666,0f63b0c,True,https://github.com/havaianasdestruido/R2K16/tree/main
Rbx2Source-enhanced,experimental,59424a8234b5e3f51443c82b3f3242557fbdb30c,59424a8,True,https://github.com/havaianasdestruido/Rbx2Source-enhanced/tree/experimental
rdprxy,dependabot/npm_and_yarn/follow-redirects-1.15.6,6330b6fe378a0ef2f2898439737d992eb4d862b8,6330b6f,False,https://github.com/havaianasdestruido/rdprxy/tree/dependabot/npm_and_yarn/follow-redirects-1.15.6
rdprxy,master,a91c1291c5ab1e087b6255bdb71997b4938226cc,a91c129,True,https://github.com/havaianasdestruido/rdprxy/tree/master
