repo,branch,sha,sha_short,author,date,message,url
blaster,main,bdd10979b2c56ba58576c3e5f64abcf43b2512c5,bdd1097,PatoFlamejanteTV (aka. UltimateQuack/HavaianasDestruido),2026-09-21T01:10:24Z,Set imgbot schedule to weekly,https://github.com/havaianasdestruido/blaster/commit/bdd10979b2c56ba58576c3e5f64abcf43b2512c5
blaster,main,a96ae2b9cbf96db754bae4785694516694a03b0d,a96ae2b,PatoFlamejanteTV (aka. UltimateQuack/HavaianasDestruido),2026-09-21T00:38:09Z,Add .imgbotconfig for aggressive image compression,https://github.com/havaianasdestruido/blaster/commit/a96ae2b9cbf96db754bae4785694516694a03b0d
blaster,main,cf870b98d839ff754f855ca751e4ac9b97903a2f,cf870b9,PatoFlamejanteTV (aka. UltimateQuack/HavaianasDestruido),2026-09-20T20:14:09Z,docs: add star history chart,https://github.com/havaianasdestruido/blaster/commit/cf870b98d839ff754f855ca751e4ac9b97903a2f
blaster,main,4e58af34b5f546ffadf47fb4c436dc70548fd5d1,4e58af3,Pato (new acc),2026-09-18T00:47:08Z,Add MIT License,https://github.com/havaianasdestruido/blaster/commit/4e58af34b5f546ffadf47fb4c436dc70548fd5d1
blaster,main,9dddc4d019b9b972dece066919a8b9f7c785a098,9dddc4d,Pato (new acc),2026-09-10T00:24:58Z,Create README.txt,https://github.com/havaianasdestruido/blaster/commit/9dddc4d019b9b972dece066919a8b9f7c785a098
blaster,main,20c4a98579abfac65fabb199b09869820a5582c2,20c4a98,Pato (new acc),2026-09-10T00:24:36Z,Create blaster.c,https://github.com/havaianasdestruido/blaster/commit/20c4a98579abfac65fabb199b09869820a5582c2
FNF-Phoenix-Engine,codex/add-javadoc/jsdoc-tags-to-functions,b03cf22250bd457423560ee614e80895ada78b16,b03cf22,PatoFlamejanteTV (aka. UltimateQuack/HavaianasDestruido),2026-09-22T11:45:48Z,Merge branch 'main' into codex/add-javadoc/jsdoc-tags-to-functions,https://github.com/havaianasdestruido/FNF-Phoenix-Engine/commit/b03cf22250bd457423560ee614e80895ada78b16
FNF-Phoenix-Engine,codex/add-javadoc/jsdoc-tags-to-functions,98baf4edc004b7cc1b0693cd62462ef39c927493,98baf4e,PatoFlamejanteTV (aka. UltimateQuack/HavaianasDestruido),2026-09-22T00:58:06Z,Merge pull request #16 from havaianasdestruido/codex/fix-windows-builds-failing-in-steps,https://github.com/havaianasdestruido/FNF-Phoenix-Engine/commit/98baf4edc004b7cc1b0693cd62462ef39c927493
FNF-Phoenix-Engine,codex/add-javadoc/jsdoc-tags-to-functions,af09202348924912353fa6aaa9970e140436a925,af09202,PatoFlamejanteTV (aka. UltimateQuack/HavaianasDestruido),2026-09-22T00:55:44Z,docs: document function interfaces,https://github.com/havaianasdestruido/FNF-Phoenix-Engine/commit/af09202348924912353fa6aaa9970e140436a925
FNF-Phoenix-Engine,codex/add-javadoc/jsdoc-tags-to-functions,9bd823dad2063c1288cae53a3186dd36c4d4215f,9bd823d,PatoFlamejanteTV (aka. UltimateQuack/HavaianasDestruido),2026-09-22T00:35:28Z,fix: avoid TankmenBG reset signature conflict,https://github.com/havaianasdestruido/FNF-Phoenix-Engine/commit/9bd823dad2063c1288cae53a3186dd36c4d4215f
FNF-Phoenix-Engine,codex/add-javadoc/jsdoc-tags-to-functions,d7b4de828255471fa72726c7f24d58ff58a477ba,d7b4de8,PatoFlamejanteTV (aka. UltimateQuack/HavaianasDestruido),2026-09-22T00:29:27Z,fix(ci): limit Windows C++ build parallelism,https://github.com/havaianasdestruido/FNF-Phoenix-Engine/commit/d7b4de828255471fa72726c7f24d58ff58a477ba
FNF-Phoenix-Engine,codex/add-javadoc/jsdoc-tags-to-functions,105cc16be8801bbaaef68310f5f09efc2e6ebd3e,105cc16,PatoFlamejanteTV (aka. UltimateQuack/HavaianasDestruido),2026-09-22T00:14:03Z,Merge pull request #15 from havaianasdestruido/codex/remove-obscene-words-from-code,https://github.com/havaianasdestruido/FNF-Phoenix-Engine/commit/105cc16be8801bbaaef68310f5f09efc2e6ebd3e
