repo,language,bytes,percent
blaster,C,46157,100.0
hemorroidabot,JavaScript,376678,98.8
hemorroidabot,HTML,4409,1.2
PatoCraft,Smali,34777369,77.9
PatoCraft,Java,9614791,21.5
PatoCraft,HLSL,207948,0.5
PatoCraft,C,27116,0.1
PatoCraft,JavaScript,23356,0.1
PatoCraft,Python,4869,0.0
PatoCraft,Batchfile,867,0.0
PrintSpoolerAutoRun,C++,3652,95.2
PrintSpoolerAutoRun,Batchfile,184,4.8
sitemapping,Python,27664,100.0
AudioTaste,JavaScript,88551,79.3
AudioTaste,CSS,15248,13.6
AudioTaste,HTML,7933,7.1
BloodAndBacon-DnSpyEx,C#,11557836,100.0
bloxNES,Lua,58862,99.8
bloxNES,Luau,116,0.2
calculator,C#,859232,64.8
calculator,C++,424928,32.0
calculator,C,21784,1.6
calculator,JavaScript,6889,0.5
calculator,PowerShell,6830,0.5
calculator,Shell,4448,0.3
calculator,TypeScript,1509,0.1
calculator,HTML,1170,0.1
DOOMMAPS,JavaScript,272671,95.9
DOOMMAPS,CSS,8220,2.9
DOOMMAPS,HTML,3329,1.2
EZInfiniteYTLive,C#,7795,100.0
face-tagger,C#,9145,100.0
FNF-PeoteView,C,4407895,70.7
FNF-PeoteView,Haxe,956314,15.3
FNF-PeoteView,C++,866270,13.9
FNF-PeoteView,Shell,3497,0.1
FNF-PeoteView,Lua,1306,0.0
FNF-PeoteView,Batchfile,758,0.0
FNF-Phoenix-Engine,Haxe,2041302,98.7
FNF-Phoenix-Engine,Python,9854,0.5
FNF-Phoenix-Engine,PowerShell,6419,0.3
FNF-Phoenix-Engine,Batchfile,4125,0.2
FNF-Phoenix-Engine,C,3044,0.1
FNF-Phoenix-Engine,Shell,2841,0.1
freellmapi,TypeScript,6105160,98.9
freellmapi,JavaScript,38135,0.6
freellmapi,HTML,13564,0.2
freellmapi,CSS,5991,0.1
freellmapi,Shell,4332,0.1
freellmapi,Dockerfile,3698,0.1
freellmapi,PowerShell,2940,0.0
Giggles-Shit,JavaScript,40546,100.0
havaianasdestruido.github.io,HTML,372,100.0
Hiphenatus,C#,100558,93.3
Hiphenatus,Visual Basic .NET,7278,6.7
hscript-improved,Haxe,206716,99.7
hscript-improved,Batchfile,519,0.3
hxluau,C++,803795,83.0
hxluau,C,83566,8.6
hxluau,Haxe,80789,8.3
ImaturidadePlusPlus,Lua,226710,74.6
ImaturidadePlusPlus,SVG,35436,11.7
ImaturidadePlusPlus,Text,18599,6.1
ImaturidadePlusPlus,Batchfile,11493,3.8
ImaturidadePlusPlus,HTML,4539,1.5
ImaturidadePlusPlus,GLSL,3171,1.0
ImaturidadePlusPlus,Markdown,2276,0.7
ImaturidadePlusPlus,Python,1297,0.4
ImaturidadePlusPlus,Shell,189,0.1
ImaturidadePlusPlus,VBScript,26,0.0
ImaturidadePlusPlus,Rich Text Format,14,0.0
lastfm-to-csv-unicode,JavaScript,359011,95.2
lastfm-to-csv-unicode,HTML,9604,2.5
lastfm-to-csv-unicode,CSS,4395,1.2
lastfm-to-csv-unicode,TypeScript,3996,1.1
MeatyMod,C#,219991,92.7
MeatyMod,Batchfile,8807,3.7
MeatyMod,PowerShell,8410,3.5
mediapublisher,C#,50369,100.0
metadata-editor,C#,8775,100.0
mmr-cli,C#,91679,100.0
mmr-gui,C#,80550,100.0
mmr-python,Python,67380,100.0
movielibrary,C#,7846,100.0
moviemaker-launcher,C#,27368,100.0
noisy,C#,47934,100.0
OdontoAura,TypeScript,227224,97.3
OdontoAura,PowerShell,3951,1.7
OdontoAura,JavaScript,1914,0.8
OdontoAura,CSS,377,0.2
orelha,HTML,35529,100.0
PersonaDB,Python,198533,84.1
PersonaDB,PLpgSQL,37426,15.9
photoviewer,C#,54122,100.0
pipeline-graph,C#,46926,100.0
pong-pop,JavaScript,7451,78.0
pong-pop,HTML,1413,14.8
pong-pop,CSS,687,7.2
PWSV,C++,36560,82.3
PWSV,Batchfile,4421,10.0
PWSV,CMake,3429,7.7
Quack3DMM,SWIG,28864788,77.3
Quack3DMM,C++,6861978,18.4
Quack3DMM,C,1495027,4.0
Quack3DMM,Makefile,84917,0.2
Quack3DMM,CMake,30766,0.1
Quack3DMM,Batchfile,13832,0.0
Quack3DMM,Assembly,1887,0.0
R2K16,C++,557213413,51.8
R2K16,HTML,348767133,32.4
R2K16,C,139874683,13.0
R2K16,JavaScript,4015166,0.4
R2K16,Python,3400448,0.3
R2K16,Objective-C++,2675524,0.2
R2K16,Objective-C,2223658,0.2
R2K16,IDL,2200374,0.2
R2K16,Lua,2046924,0.2
R2K16,Assembly,1539045,0.1
R2K16,QML,1446093,0.1
R2K16,Java,1401718,0.1
R2K16,CSS,1218372,0.1
R2K16,C#,905324,0.1
R2K16,XSLT,875007,0.1
R2K16,CMake,768823,0.1
R2K16,Shell,730710,0.1
R2K16,QMake,635968,0.1
R2K16,Makefile,518535,0.0
R2K16,GAP,385184,0.0
R2K16,Yacc,383743,0.0
R2K16,M4,216731,0.0
R2K16,CWeb,173921,0.0
R2K16,Perl,156625,0.0
R2K16,Cuda,130316,0.0
R2K16,HLSL,120595,0.0
R2K16,DIGITAL Command Language,100111,0.0
R2K16,Ada,89079,0.0
R2K16,PHP,86439,0.0
R2K16,Roff,86099,0.0
R2K16,TeX,82851,0.0
R2K16,VBScript,69481,0.0
R2K16,Module Management System,69178,0.0
R2K16,Rich Text Format,61478,0.0
R2K16,Batchfile,59681,0.0
R2K16,Lex,53422,0.0
R2K16,Go Template,52207,0.0
R2K16,Pascal,42413,0.0
R2K16,Max,36857,0.0
R2K16,Qt Script,29918,0.0
R2K16,Pawn,29116,0.0
R2K16,Ruby,26381,0.0
R2K16,LLVM,23063,0.0
R2K16,GLSL,18207,0.0
R2K16,BitBake,15622,0.0
R2K16,XQuery,12547,0.0
R2K16,AIDL,8443,0.0
R2K16,Less,8428,0.0
R2K16,POV-Ray SDL,4063,0.0
R2K16,Visual Basic .NET,3795,0.0
R2K16,NASL,2832,0.0
R2K16,AppleScript,2781,0.0
R2K16,Prolog,2612,0.0
R2K16,Eiffel,2159,0.0
R2K16,Fortran,1856,0.0
R2K16,Gherkin,1620,0.0
R2K16,Tcl,1172,0.0
R2K16,sed,946,0.0
R2K16,Scilab,673,0.0
R2K16,D,597,0.0
R2K16,Rez,354,0.0
R2K16,SCSS,259,0.0
R2K16,GDB,227,0.0
R2K16,Sass,167,0.0
Rbx2Source-enhanced,C#,335902,98.2
Rbx2Source-enhanced,QuakeC,3337,1.0
Rbx2Source-enhanced,Lua,2418,0.7
Rbx2Source-enhanced,Batchfile,317,0.1
rdprxy,JavaScript,3953,82.4
rdprxy,Lua,842,17.6
RoBrowser,Luau,43359,90.0
RoBrowser,CSS,4836,10.0
ROT-1,JavaScript,23952,71.4
ROT-1,CSS,6604,19.7
ROT-1,HTML,2973,8.9
sand-box2d,JavaScript,6721,70.8
sand-box2d,HTML,1523,16.0
sand-box2d,CSS,1247,13.1
scrobbleviz,JavaScript,37131,74.7
scrobbleviz,HTML,12600,25.3
