repo,pr_number,sha,sha_short,message,url
hemorroidabot,1,01192ecb6b21eab290172910a228fdfde0c1321a,01192ec,[ImgBot] Optimize images,https://github.com/havaianasdestruido/hemorroidabot/commit/01192ecb6b21eab290172910a228fdfde0c1321a
pong-pop,3,0b452305acfc9acbde3097a56f397fe7e0de921f,0b45230,Show score on play button during games,https://github.com/havaianasdestruido/pong-pop/commit/0b452305acfc9acbde3097a56f397fe7e0de921f
pong-pop,2,796d5c1f8434666fa2d70df3093f594ec3d26c03,796d5c1,Smooth AI paddle window movement,https://github.com/havaianasdestruido/pong-pop/commit/796d5c1f8434666fa2d70df3093f594ec3d26c03
pong-pop,1,ebce1a99b0c8c9c21ffd5527c3b589af2b134f73,ebce1a9,Create popup window Pong game,https://github.com/havaianasdestruido/pong-pop/commit/ebce1a99b0c8c9c21ffd5527c3b589af2b134f73
AudioTaste,1,4e7ad01509542836213e7125ccc4fb067bb78d9b,4e7ad01,Install Vercel Speed Insights with framework support,https://github.com/havaianasdestruido/AudioTaste/commit/4e7ad01509542836213e7125ccc4fb067bb78d9b
bootloader-unlock-wall-of-shame,2,56a64ea58aa8febe86b41c77418ecac11e63f4d2,56a64ea,fix grammar and spelling across markdown files,https://github.com/havaianasdestruido/bootloader-unlock-wall-of-shame/commit/56a64ea58aa8febe86b41c77418ecac11e63f4d2
bootloader-unlock-wall-of-shame,1,100ad86e7cb044600a62531c9d5998558e4968e5,100ad86,[ImgBot] Optimize images,https://github.com/havaianasdestruido/bootloader-unlock-wall-of-shame/commit/100ad86e7cb044600a62531c9d5998558e4968e5
BulkStarHistoryAdd,1,0cdc36dad5cb32be088ac6afa40f2c6e8cb4ae01,0cdc36d,[ImgBot] Optimize images,https://github.com/havaianasdestruido/BulkStarHistoryAdd/commit/0cdc36dad5cb32be088ac6afa40f2c6e8cb4ae01
calculator,1,2ec7688d290121f4b17e28dec9da97486e5fef6c,2ec7688,[ImgBot] Optimize images,https://github.com/havaianasdestruido/calculator/commit/2ec7688d290121f4b17e28dec9da97486e5fef6c
FNF-PeoteView,1,354c48e9e18eafea87696d0ed8be12c2dc95f758,354c48e,[ImgBot] Optimize images,https://github.com/havaianasdestruido/FNF-PeoteView/commit/354c48e9e18eafea87696d0ed8be12c2dc95f758
FNF-Phoenix-Engine,14,7701ed8e5530a6192de386e5244cb8d370332f1d,7701ed8,fix: repair broken GitHub Actions workflows,https://github.com/havaianasdestruido/FNF-Phoenix-Engine/commit/7701ed8e5530a6192de386e5244cb8d370332f1d
FNF-Phoenix-Engine,14,1c73057ab2fb5a625d312d69ed3eb03bed9cbc47,1c73057,fix: repair broken GitHub Actions workflows and project haxelib dependencies,https://github.com/havaianasdestruido/FNF-Phoenix-Engine/commit/1c73057ab2fb5a625d312d69ed3eb03bed9cbc47
FNF-Phoenix-Engine,14,31dd949d22f0cdb30abe0d92249d2cc09044c1ff,31dd949,fix: repair broken GitHub Actions workflows and Android compilation issues,https://github.com/havaianasdestruido/FNF-Phoenix-Engine/commit/31dd949d22f0cdb30abe0d92249d2cc09044c1ff
FNF-Phoenix-Engine,14,f76f7fea749db8c1434656c779d714e4884d6d5e,f76f7fe,fix: repair broken GitHub Actions workflows and Android build compilation issues,https://github.com/havaianasdestruido/FNF-Phoenix-Engine/commit/f76f7fea749db8c1434656c779d714e4884d6d5e
FNF-Phoenix-Engine,13,12717f68da1681f9548e882178e505c47e35a11d,12717f6,workflow: default builds to Windows and Android with toggle,https://github.com/havaianasdestruido/FNF-Phoenix-Engine/commit/12717f68da1681f9548e882178e505c47e35a11d
FNF-Phoenix-Engine,13,582c98e27bb7cff13c5f6973f9829e97e7b9d1b0,582c98e,workflow: default builds to Windows and Android with toggle,https://github.com/havaianasdestruido/FNF-Phoenix-Engine/commit/582c98e27bb7cff13c5f6973f9829e97e7b9d1b0
FNF-Phoenix-Engine,13,57adef303a2c3a7539b0d3812f0dfd3bb36939ae,57adef3,Merge branch 'main' into jules-15472080900066083561-4f7fe005,https://github.com/havaianasdestruido/FNF-Phoenix-Engine/commit/57adef303a2c3a7539b0d3812f0dfd3bb36939ae
FNF-Phoenix-Engine,12,f275f5e55e21feea5d1a6067ab4eae594897faa3,f275f5e,Fix UTF-8 BOM in hmm.json and JSON configs,https://github.com/havaianasdestruido/FNF-Phoenix-Engine/commit/f275f5e55e21feea5d1a6067ab4eae594897faa3
FNF-Phoenix-Engine,11,42ad9bcc91179cb478bb3d0a77b9f5f3e064ebb4,42ad9bc,Rename engine executable and package name to FNF-Phoenix-Engine and quack.fnf.phoenix,https://github.com/havaianasdestruido/FNF-Phoenix-Engine/commit/42ad9bcc91179cb478bb3d0a77b9f5f3e064ebb4
FNF-Phoenix-Engine,11,9304f53c5621d8d370f89aa0f681b58d6075a461,9304f53,Merge branch 'main' into rename-executable-phoenix-engine-9312091600553147924,https://github.com/havaianasdestruido/FNF-Phoenix-Engine/commit/9304f53c5621d8d370f89aa0f681b58d6075a461
FNF-Phoenix-Engine,10,b049c3172a677cf9b9ee456783a778a55f4d710c,b049c31,Add mobile and Android support with touch controls and CI workflows,https://github.com/havaianasdestruido/FNF-Phoenix-Engine/commit/b049c3172a677cf9b9ee456783a778a55f4d710c
FNF-Phoenix-Engine,10,e18aa9c3d85cf8c350f31bbc5c14665bd8c364e6,e18aa9c,Fix HXP certificate reference and update mobile CI workflows,https://github.com/havaianasdestruido/FNF-Phoenix-Engine/commit/e18aa9c3d85cf8c350f31bbc5c14665bd8c364e6
FNF-Phoenix-Engine,10,adee2fec8cbd7d2f5f817d7fc563565fd413b630,adee2fe,Fix Certificate type qualification in project.hxp for HXP build,https://github.com/havaianasdestruido/FNF-Phoenix-Engine/commit/adee2fec8cbd7d2f5f817d7fc563565fd413b630
FNF-Phoenix-Engine,10,4e86b3429b20cb3eeddf3828485508a12fe9bf86,4e86b34,"Fix mobile CI workflow paths, keystore handling, and null safety",https://github.com/havaianasdestruido/FNF-Phoenix-Engine/commit/4e86b3429b20cb3eeddf3828485508a12fe9bf86
FNF-Phoenix-Engine,10,b88410f0e50681c0d2ebad8cdf10adbfbe1c3b48,b88410f,Add mobile (Android) target support and touch controls,https://github.com/havaianasdestruido/FNF-Phoenix-Engine/commit/b88410f0e50681c0d2ebad8cdf10adbfbe1c3b48
FNF-Phoenix-Engine,9,26d32981f30b4fb5d2fb9e9c375e50d38a3bc11a,26d3298,Fix failing workflows and optimize cache system,https://github.com/havaianasdestruido/FNF-Phoenix-Engine/commit/26d32981f30b4fb5d2fb9e9c375e50d38a3bc11a
