repo,state,status,number,title,user,created_at,base_branch,head_branch,commit_count,url
pong-pop,closed,merged,3,Show the live score on the play button,havaianasdestruido,2026-09-20T20:42:46Z,main,codex/atualizar-texto-do-botao-ao-iniciar-o-jogo,1,https://github.com/havaianasdestruido/pong-pop/pull/3
pong-pop,closed,merged,2,Smooth AI paddle movement and reduce popup shaking,havaianasdestruido,2026-08-13T01:05:14Z,main,codex/corrigir-janela-da-ia-tremendo-ao-seguir-a-bola,1,https://github.com/havaianasdestruido/pong-pop/pull/2
pong-pop,closed,merged,1,Add popup-window Pong game with Play launcher and performance-focused controller,havaianasdestruido,2026-07-28T19:12:22Z,main,codex/create-pong-game-with-popup-windows,1,https://github.com/havaianasdestruido/pong-pop/pull/1
AudioTaste,closed,merged,1,Install Vercel Speed Insights with framework support,vercel[bot],2026-08-07T19:12:59Z,main,vercel/install-vercel-speed-insights-ftzuun,1,https://github.com/havaianasdestruido/AudioTaste/pull/1
bootloader-unlock-wall-of-shame,closed,merged,2,Fix grammar and spelling across Markdown files,havaianasdestruido,2026-09-20T15:28:32Z,main,jules-6300918527596495494-157f5121,1,https://github.com/havaianasdestruido/bootloader-unlock-wall-of-shame/pull/2
bootloader-unlock-wall-of-shame,closed,merged,1,[ImgBot] Optimize images,imgbot[bot],2026-09-20T15:00:12Z,main,imgbot,1,https://github.com/havaianasdestruido/bootloader-unlock-wall-of-shame/pull/1
BulkStarHistoryAdd,open,open,1,[ImgBot] Optimize images,imgbot[bot],2026-09-20T20:20:36Z,main,imgbot,1,https://github.com/havaianasdestruido/BulkStarHistoryAdd/pull/1
calculator,closed,merged,1,[ImgBot] Optimize images,imgbot[bot],2026-09-19T20:02:44Z,uno,imgbot,1,https://github.com/havaianasdestruido/calculator/pull/1
FNF-PeoteView,closed,merged,1,[ImgBot] Optimize images,imgbot[bot],2026-09-19T20:09:44Z,official,imgbot,1,https://github.com/havaianasdestruido/FNF-PeoteView/pull/1
FNF-Phoenix-Engine,open,open,14,fix: repair broken GitHub Actions workflows,havaianasdestruido,2026-08-31T13:42:45Z,main,fix-broken-workflows-451876394576674102,4,https://github.com/havaianasdestruido/FNF-Phoenix-Engine/pull/14
FNF-Phoenix-Engine,closed,merged,13,workflow: default builds to Windows and Android with toggle,havaianasdestruido,2026-08-30T20:06:10Z,main,jules-15472080900066083561-4f7fe005,3,https://github.com/havaianasdestruido/FNF-Phoenix-Engine/pull/13
FNF-Phoenix-Engine,closed,merged,12,Fix UTF-8 BOM in hmm.json causing hmm install failure,havaianasdestruido,2026-08-30T19:49:15Z,main,fix-hmm-json-bom-12799565648666142956,1,https://github.com/havaianasdestruido/FNF-Phoenix-Engine/pull/12
FNF-Phoenix-Engine,closed,merged,11,Rebranding,havaianasdestruido,2026-08-30T19:14:21Z,main,rename-executable-phoenix-engine-9312091600553147924,2,https://github.com/havaianasdestruido/FNF-Phoenix-Engine/pull/11
FNF-Phoenix-Engine,closed,merged,10,Add Mobile and Android Target Support,havaianasdestruido,2026-08-29T23:56:40Z,main,feat/mobile-android-support-4381999023176773013,7,https://github.com/havaianasdestruido/FNF-Phoenix-Engine/pull/10
FNF-Phoenix-Engine,closed,merged,9,Fix failing workflows and optimize cache system,havaianasdestruido,2026-08-23T12:28:22Z,main,fix/workflows-and-cache-optimization-14471544405070009642,3,https://github.com/havaianasdestruido/FNF-Phoenix-Engine/pull/9
FNF-Phoenix-Engine,closed,merged,8,Speed up native build workflows and port parallel build flags to local scripts,havaianasdestruido,2026-08-21T19:26:44Z,main,codex/optimize-workflow-compilation-time,1,https://github.com/havaianasdestruido/FNF-Phoenix-Engine/pull/8
FNF-Phoenix-Engine,closed,merged,7,Ship bf-clicker mod in build outputs,havaianasdestruido,2026-08-21T19:18:31Z,main,codex/include-bf-clicker-mod-in-output-zip,1,https://github.com/havaianasdestruido/FNF-Phoenix-Engine/pull/7
FNF-Phoenix-Engine,closed,merged,6,Bottlenecks,havaianasdestruido,2026-08-21T15:29:24Z,main,bottlenecks,30,https://github.com/havaianasdestruido/FNF-Phoenix-Engine/pull/6
FNF-Phoenix-Engine,closed,merged,5,The fearsome python experiment is now fully completed,havaianasdestruido,2026-08-21T15:05:54Z,main,the-fearsome-python-experiment,4,https://github.com/havaianasdestruido/FNF-Phoenix-Engine/pull/5
FNF-Phoenix-Engine,closed,closed,4,merge some stuff made by ArkoseLabsOfficial and Moxie,havaianasdestruido,2026-08-14T16:54:18Z,mobile-test,main,30,https://github.com/havaianasdestruido/FNF-Phoenix-Engine/pull/4
FNF-Phoenix-Engine,closed,merged,3,upd,havaianasdestruido,2026-08-10T20:02:40Z,main,main,13,https://github.com/havaianasdestruido/FNF-Phoenix-Engine/pull/3
FNF-Phoenix-Engine,closed,merged,2,Minify json,havaianasdestruido,2026-08-10T17:54:53Z,main,minify-json,2,https://github.com/havaianasdestruido/FNF-Phoenix-Engine/pull/2
FNF-Phoenix-Engine,closed,merged,1,Nightly link,havaianasdestruido,2026-08-10T17:24:48Z,main,nightly-link,3,https://github.com/havaianasdestruido/FNF-Phoenix-Engine/pull/1
freellmapi,closed,merged,2,[ImgBot] Optimize images,imgbot[bot],2026-09-19T20:05:27Z,main,imgbot,1,https://github.com/havaianasdestruido/freellmapi/pull/2
freellmapi,closed,merged,1,Fix README grammar and spelling,havaianasdestruido,2026-09-15T17:36:49Z,main,fix-readme-grammar-18253037270662955219,1,https://github.com/havaianasdestruido/freellmapi/pull/1
gitgithub,closed,merged,3,Expand TBA sections in README.MD with Git code examples,havaianasdestruido,2026-08-14T18:50:55Z,main,expand-tba-readme-934878366318225114,1,https://github.com/havaianasdestruido/gitgithub/pull/3
gitgithub,closed,merged,2,Corrigir gramática e ortografia no README.MD,havaianasdestruido,2026-08-14T18:44:39Z,main,fix-readme-grammar-9987866976443268935,2,https://github.com/havaianasdestruido/gitgithub/pull/2
gitgithub,closed,merged,1,Add Git installation tutorials to README,havaianasdestruido,2026-08-14T17:14:46Z,main,add-git-installation-tutorials-17541894421943877497,1,https://github.com/havaianasdestruido/gitgithub/pull/1
