name,owner,url,description,stars,forks,watchers,open_issues,language,default_branch,created_at,updated_at,is_fork,is_archived,is_template,forked_from
blaster,havaianasdestruido,https://github.com/havaianasdestruido/blaster,MIRROR of blaster worm code decomp,1,0,1,0,C,main,2026-09-10T00:24:07Z,2026-09-21T01:10:28Z,False,False,False,
FNF-Phoenix-Engine,havaianasdestruido,https://github.com/havaianasdestruido/FNF-Phoenix-Engine,"Phoenix Engine is an enhanced fork of JSE, which in turn is a fork of Psych but with performance-related additions.",1,0,1,3,Haxe,main,2026-04-23T14:23:01Z,2026-09-22T18:00:18Z,True,False,True,JordanSantiagoYT/FNF-JS-Engine
hemorroidabot,havaianasdestruido,https://github.com/havaianasdestruido/hemorroidabot,,1,0,1,0,JavaScript,master,2026-09-01T20:45:25Z,2026-09-22T00:11:29Z,False,False,True,
PatoCraft,havaianasdestruido,https://github.com/havaianasdestruido/PatoCraft,OldSchool MCPE revival with QoL changes,1,0,1,0,Smali,main,2026-09-05T18:08:59Z,2026-09-21T01:10:28Z,False,False,False,
pong-pop,havaianasdestruido,https://github.com/havaianasdestruido/pong-pop,"Jogo simples onde você joga ping pong, mas com pop ups.",1,0,1,0,JavaScript,main,2026-07-28T19:07:27Z,2026-09-21T01:10:32Z,False,False,False,
PrintSpoolerAutoRun,havaianasdestruido,https://github.com/havaianasdestruido/PrintSpoolerAutoRun,Simple win32 app that starts the printer spooler service if its not running.,1,0,1,0,C++,main,2026-09-18T00:27:16Z,2026-09-21T01:10:30Z,False,False,False,
sitemapping,havaianasdestruido,https://github.com/havaianasdestruido/sitemapping,workflow to make me get indexed on some stuff. aka SEO stuff,1,0,1,0,Python,main,2026-09-13T17:26:42Z,2026-09-22T22:36:19Z,False,False,True,
top100,havaianasdestruido,https://github.com/havaianasdestruido/top100,"TOP 100 GitHub repositories for each major programming language, listed by stars.",1,0,1,0,Python,main,2026-09-20T19:20:25Z,2026-09-23T02:00:57Z,False,False,False,
.github,havaianasdestruido,https://github.com/havaianasdestruido/.github,me,0,0,0,0,unknown,main,2026-08-09T19:49:51Z,2026-09-21T13:13:52Z,False,False,False,
apkdecomp-skill,havaianasdestruido,https://github.com/havaianasdestruido/apkdecomp-skill,,0,0,0,0,unknown,main,2026-09-20T13:44:19Z,2026-09-21T01:10:23Z,False,False,False,
AudioTaste,havaianasdestruido,https://github.com/havaianasdestruido/AudioTaste,,0,0,0,0,JavaScript,main,2026-08-07T17:55:19Z,2026-09-21T01:10:17Z,False,False,False,
BloodAndBacon-DnSpyEx,havaianasdestruido,https://github.com/havaianasdestruido/BloodAndBacon-DnSpyEx,Decompile of Blood & Bacon made using DnSpyEx.,0,0,0,0,C#,main,2026-08-12T23:51:04Z,2026-09-21T01:10:17Z,False,False,False,
bloxNES,havaianasdestruido,https://github.com/havaianasdestruido/bloxNES,,0,0,0,0,Lua,main,2026-05-03T16:17:42Z,2026-09-21T01:10:30Z,False,False,True,
bootloader-unlock-wall-of-shame,havaianasdestruido,https://github.com/havaianasdestruido/bootloader-unlock-wall-of-shame,"Keeping track of companies that ""care about your data 🥺""",0,0,0,0,unknown,main,2026-09-20T14:59:18Z,2026-09-20T15:36:26Z,True,False,False,zenfyrdev/bootloader-unlock-wall-of-shame
BulkStarHistoryAdd,havaianasdestruido,https://github.com/havaianasdestruido/BulkStarHistoryAdd,,0,0,0,1,PowerShell,main,2026-09-20T20:09:01Z,2026-09-21T01:10:12Z,False,False,False,
calculator,havaianasdestruido,https://github.com/havaianasdestruido/calculator,Uno Calculator: A simple yet powerful iOS/Android/WebAssembly/Linux C# port of the calculator that ships with Windows,0,0,0,0,C#,uno,2026-07-26T21:11:05Z,2026-09-19T20:04:59Z,True,False,False,unoplatform/calculator
EleLab_v2,havaianasdestruido,https://github.com/havaianasdestruido/EleLab_v2,Cheap DIY lab system for hobbyists and the tinkering folk,0,0,0,0,unknown,master,2026-09-19T19:59:57Z,2026-09-19T19:59:57Z,True,False,False,Chrismettal/EleLab_v2
EZInfiniteYTLive,havaianasdestruido,https://github.com/havaianasdestruido/EZInfiniteYTLive,,0,0,0,0,C#,main,2026-09-13T18:08:46Z,2026-09-21T01:10:30Z,False,False,False,
face-tagger,havaianasdestruido,https://github.com/havaianasdestruido/face-tagger,,0,0,0,0,C#,master,2026-08-03T16:50:46Z,2026-09-21T01:10:17Z,False,False,False,
FNF-PeoteView,havaianasdestruido,https://github.com/havaianasdestruido/FNF-PeoteView,"The fastest running opengl fnf engine in haxe EVER. We're optimizing, and sometimes debugging, and making the codebase exponentially flexible while also making it so you experience buttery smooth gameplay. Peote-view is different compared to flixel so the codebase and assets are much different compared to other fnf engines. Starting v0.94.",0,0,0,0,C,official,2026-08-10T21:00:37Z,2026-09-20T18:13:13Z,True,False,False,SomeGuyWhoLovesCoding/FNF-PeoteView
FNF-Phoenix-Engine-fork,havaianasdestruido,https://github.com/havaianasdestruido/FNF-Phoenix-Engine-fork,Fork of havaianasdestruido/FNF-Phoenix-Engine with CI fix to avoid matrix usage in job-level if. Created by Copilot assistant.,0,0,0,0,unknown,main,2026-08-31T12:35:14Z,2026-09-21T01:10:15Z,False,False,False,
freellmapi,havaianasdestruido,https://github.com/havaianasdestruido/freellmapi,"7.4 billion tokens per month. 34 free LLM providers. 635 free model endpoints. All behind one /v1 endpoint, plus any custom OpenAI-compatible endpoint. Smart routing, automatic failover, encrypted keys. Personal experimentation only.",0,0,0,0,TypeScript,main,2026-09-15T14:38:52Z,2026-09-19T20:07:55Z,True,False,False,tashfeenahmed/freellmapi
Giggles-Shit,havaianasdestruido,https://github.com/havaianasdestruido/Giggles-Shit,userscript for custom goofy emojis for github,0,0,0,1,JavaScript,main,2026-08-12T14:20:15Z,2026-09-21T01:10:12Z,False,False,False,
gitgithub,havaianasdestruido,https://github.com/havaianasdestruido/gitgithub,trabalho escolar,0,0,0,0,unknown,main,2026-08-14T17:00:04Z,2026-09-21T01:10:28Z,False,False,False,
havaianasdestruido.github.io,havaianasdestruido,https://github.com/havaianasdestruido/havaianasdestruido.github.io,,0,0,0,0,HTML,main,2026-08-12T15:37:31Z,2026-09-21T01:10:28Z,False,False,False,
Hiphenatus,havaianasdestruido,https://github.com/havaianasdestruido/Hiphenatus,,0,0,0,0,C#,main,2026-09-07T17:25:35Z,2026-09-21T01:10:32Z,False,False,False,
