full_name,url,description
firebase/agent-skills,https://github.com/firebase/agent-skills,Agent Skills for Firebase
havaianasdestruido/hemorroidabot,https://github.com/havaianasdestruido/hemorroidabot,
havaianasdestruido/PrintSpoolerAutoRun,https://github.com/havaianasdestruido/PrintSpoolerAutoRun,Simple win32 app that starts the printer spooler service if its not running.
Intelinsidecom/Vine-Decomp,https://github.com/Intelinsidecom/Vine-Decomp,Vine Client decompilation project targeted for Ivy Vine project. Currently Decompiled but not recompiled clients are Android and Windows Phone 8.1
Intelinsidecom/roblox-master-2016-Contribs,https://github.com/Intelinsidecom/roblox-master-2016-Contribs,The contribs get constant patches and more and i cant just repackage into zip and reupload each time
Intelinsidecom/CHatOnWebserver,https://github.com/Intelinsidecom/CHatOnWebserver,"ChatON revival, idk"
Intelinsidecom/roblox-master-2016,https://github.com/Intelinsidecom/roblox-master-2016,"My own fork of the leaked 2016 Gametest2 Roblox Source Code, focuses on getting all projects compiling, reverse engineered"
Intelinsidecom/Roblox-Website,https://github.com/Intelinsidecom/Roblox-Website,"This Project Aims to Recreate Roblox Website from specific time periods, by using the same systems they used and the way they used them"
zenfyrdev/bootloader-unlock-wall-of-shame,https://github.com/zenfyrdev/bootloader-unlock-wall-of-shame,"Keeping track of companies that ""care about your data 🥺"""
TheCoderRaman/roblox-hitius-sourcecode,https://github.com/TheCoderRaman/roblox-hitius-sourcecode,Roblox 2016 Hitius Source Code and its buildable!
codecrafters-io/build-your-own-x,https://github.com/codecrafters-io/build-your-own-x,Master programming by recreating your favorite technologies from scratch.
Alishahryar1/free-claude-code,https://github.com/Alishahryar1/free-claude-code,"Use Claude Code, Codex, Pi, and OpenCode (and 6 other harnesses) for free (1.3B+ free tokens) from your terminal, app, IDE, or phone, and now from the browser with native browser sessions (multi-harness + multi-model) like OpenClaw (voice supported + ToS friendly)"
GorvGoyl/Clone-Wars,https://github.com/GorvGoyl/Clone-Wars,"100+ open-source clones of popular sites like Airbnb, Amazon, Instagram, Netflix, Tiktok, Spotify, Whatsapp, Youtube etc. See source code, demo links, tech stack, github stars."
pbatard/rufus,https://github.com/pbatard/rufus,The Reliable USB Formatting Utility
Julien-Rodot/Roblox-2016-,https://github.com/Julien-Rodot/Roblox-2016-,Roblox 2016 source
anorrl/client,https://github.com/anorrl/client,client source for ANORRL.
Playerr10/The-Funnel-Method-Archive,https://github.com/Playerr10/The-Funnel-Method-Archive,2016 RCC for 2013L WindowsPlayer.
kkorsan/libreblox-roblox,https://github.com/kkorsan/libreblox-roblox,The free and open source roblox client
dbrizov/NaughtyAttributesGD,https://github.com/dbrizov/NaughtyAttributesGD,NaughtyAttributes for Godot
havaianasdestruido/sitemapping,https://github.com/havaianasdestruido/sitemapping,workflow to make me get indexed on some stuff. aka SEO stuff
libriscv/godot-jit,https://github.com/libriscv/godot-jit,UnsafeGDScript based on Godot Sandbox SafeGDScript is 1.5-10x faster than GDScript
tashfeenahmed/freellmapi,https://github.com/tashfeenahmed/freellmapi,"7.4 billion tokens per month. 34 free LLM providers. 635 free model endpoints. All behind one /v1 endpoint, plus any custom OpenAI-compatible endpoint. Smart routing, automatic failover, encrypted keys. Personal experimentation only."
google/snappy,https://github.com/google/snappy,A fast compressor/decompressor
wilsonzlin/aero,https://github.com/wilsonzlin/aero,Windows 7 in the browser
EremelMods/Ortalab,https://github.com/EremelMods/Ortalab,
affaan-m/ECC,https://github.com/affaan-m/ECC,"The agent harness performance optimization system. Skills, instincts, memory, security, and research-first development for Claude Code, Codex, Opencode, Cursor and beyond."
mattpocock/skills,https://github.com/mattpocock/skills,Skills for Real Engineers. Straight from my .agents directory.
Omico/CurrentActivity,https://github.com/Omico/CurrentActivity,"Current Activity is an open-source Android app built with Google's recommended app architecture, serving as a public reference implementation for learning, experimenting with, and evolving modern Android architecture."
cheshire137/artists-over-time,https://github.com/cheshire137/artists-over-time,View which artists you've listened to each week via your Last.fm history.
xiongchiamiov/lastfm-tail,https://github.com/xiongchiamiov/lastfm-tail,"A small script, inspired by the Unix tail utility, for viewing recently-scrobbled tracks on Last.fm."
xiongchiamiov/lastfm-top,https://github.com/xiongchiamiov/lastfm-top,View frequently-queried information from a Last.fm profile.
Venipa/ytmdesktop2,https://github.com/Venipa/ytmdesktop2,"Unofficial Youtube Music Desktop App, with Discord RPC & LastFM support."
tamandua2123123123/Servidor-Perfeito,https://github.com/tamandua2123123123/Servidor-Perfeito,
AntumDeluge/game-resources,https://github.com/AntumDeluge/game-resources,"Sprites, tiles, & audio collected, created, &/or edited for use games"
FunkinCrew/polymod,https://github.com/FunkinCrew/polymod,Atomic modding framework for Haxe
